"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 07:07:04,FALSE,NA,"1463041390984663040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dalgondang",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 05:56:42,FALSE,NA,"1463023682796724227",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mynameismelti",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 05:44:55,FALSE,NA,"1463020719218958342",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blablathinker",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 04:41:40,FALSE,NA,"1463004799784284160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","checyaletta",3307,TRUE,FALSE,NA,NA
"PRESIDENT Joko Widodo will officially unveilled the irrigation project Karallloe Dam in Gowa District, South Sulawe… https://t.co/a5NiLiayag",FALSE,0,NA,2021-11-23 04:20:55,TRUE,NA,"1462999578085507077",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"INDONESIA'S President Joko Widodo flied for one-day working visit in South Sulawesi province on Tuesday on Nov 23,… https://t.co/Ptf5AnMl5I",FALSE,0,NA,2021-11-23 04:17:16,TRUE,NA,"1462998660304699402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 02:20:17,FALSE,NA,"1462969220489121794",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aveechena",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 02:14:39,FALSE,NA,"1462967802344591368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","najaesmileymin",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 01:29:43,FALSE,NA,"1462956493511168003",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ezararvi",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 01:03:44,FALSE,NA,"1462949957971759107",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mhalalalalala",3307,TRUE,FALSE,NA,NA
