Datetime,Username,Text
2021-11-29 15:08:26+00:00,LindaSaibi,@FajarHi77302994 @NyiMasRuminah @FerdinandHaean3 Kasian amat lu drun presiden gua udh jd president dunia Mandalika sukses drun sampe di lirik Ama raja arap ngadain F1 drun aduhh formula e finish nya di KPK tolol anggaran triliunan sirkuit gk ada pohon di relokasi nama nya gila mana ada pohon di karantina 😂😂😂
2021-11-29 15:04:26+00:00,bidoean,knp nda ke mandalika aja https://t.co/byZmZFqcY5
2021-11-29 15:03:12+00:00,AretaRivera,@Gadis_Kampungk @arif_rintang @mang_ib @Even1508 @BPrima777 @4bby5 @SIWE_NDARA @Windawati_90 @LekMarteg @LimaLapa1 @mikuroQ @Babun_Gagar @kong_erte @AbdinagaraRizzi @Lima8Satu @Chishe_wd23 @27_gorengan @langityang7 @B3doel___ @BimsDwipangga @kania_maharanie @18HRS2 @Ande2_Lumut1 @Ikhaamina @diaryku_dia Follow @mang_ib
2021-11-29 14:59:08+00:00,lastri01766952,"@ValeYellow46 Grazie @ValeYellow46 #VR46🏆forever
2022 visit to mandalika, indonesia.."
2021-11-29 14:58:42+00:00,BM_Contractors,@TeddyWoga Boleh
2021-11-29 14:56:51+00:00,MyCatMumut,"@pengarang_sajak Lha kan bayarnya pake APBD DKI. Kalo aku sih maunya di Mandalika aja, supaya kagak ada duit lagi keluar untuk bangun persiapan sirkuitnya. Biar Wan Got kelenger kena kasus bayar fee tapi pelaksanaan bukan di DKI."
2021-11-29 14:54:22+00:00,Mr_69jakarta,"@detikcom Manadlika fisiknya ada dan bisa digunakan berkali2 sampai tahunan...klo FE gimana pak? 
Klo bikin Hotel...mandalika sudah jadi Hotel, FE baru IMB dan mahal pula, gitu bukan?"
2021-11-29 14:51:59+00:00,BM_Contractors,@Maria_Zadina @Mas_Bejo_bae @L1L178 @wiwikherma @Rudiantara110 @kusmanedi @FeroS62733512 @Christ8623 @wiena_kinasih @HarrySoe3 @LRidhoarto @aryaivallyssa Kan udah temanan
2021-11-29 14:51:09+00:00,BM_Contractors,@el_azp @BangJun_93 @meliana_suryati @SriMujiAstuti8 @4MarbleStone @Ernie_es @polres_pacitan @matanya_bintang @PolsekKandat_ @bersatulahnkri Trimakasih 🙏
2021-11-29 14:50:57+00:00,BM_Contractors,@el_azp @R21Wid @Iguh_cipto @basuki_puguh @elangperkasa07 @HZuned @Cantika82104633 @brader_akbar @BizgateSetup @Mahardika_2789 @supriyantoezra1 @RickyKardjono @dehadaud Hy semua
